Customer_ID,Customer_Name,Month,Dish_Ordered,Quantity_Ordered,Order_Time,Payment_Method,Month_Num,Day,Order_Date,Dish_Name,Ingredients_List,is_holiday,Weekday,Week,Num_Ingredients,Dish_Price,Total_Value
5792,Rajesh Gupta,August,Aloo Posto,3,Evening,Cash,8,25,2022-08-25,Aloo Posto,"['potato', 'poppy seeds', 'mustard oil', 'green chili', 'salt', 'turmeric', 'onion']",0,Thursday,34,7,182,546
8481,Rajesh Gupta,June,Egg Chilly,1,Night,Card,6,14,2022-06-14,Egg Chilly,"['egg', 'capsicum', 'soy sauce', 'garlic', 'onion', 'oil', 'ginger', 'corn flour', 'green onion', 'spices']",0,Tuesday,24,10,172,172
1275,Rajesh Gupta,December,Dhal Fry,1,Evening,Cash,12,19,2022-12-19,Dhal Fry,"['dal', 'garlic', 'curry leaves', 'oil', 'cumin seeds', 'tomato', 'onion', 'turmeric', 'salt', 'green chili']",0,Monday,51,10,94,94
9452,Soham Bose,September,Kashmiri Aloo Dum,3,Morning,Card,9,22,2022-09-22,Kashmiri Aloo Dum,"['potato', 'yogurt', 'spices', 'dry fruits', 'oil', 'tomato', 'ginger', 'salt']",0,Thursday,38,8,186,558
8821,Arvind Das,January,Onion Dosa,5,Afternoon,Card,1,4,2022-01-04,Onion Dosa,"['rice', 'urad dal', 'salt', 'onion', 'coriander', 'oil', 'green chili', 'water']",0,Tuesday,1,8,151,755
9480,Sunita Sen,September,Chicken Fry,2,Night,Wallet,9,16,2022-09-16,Chicken Fry,"['chicken', 'flour', 'egg', 'spices', 'oil', 'salt', 'garlic', 'ginger', 'lemon juice']",0,Friday,37,9,100,200
5269,Priya Sharma,May,Masala Rice,3,Night,Wallet,5,14,2022-05-14,Masala Rice,"['rice', 'spices', 'onion', 'tomato', 'oil', 'green chili', 'salt', 'water']",0,Saturday,19,8,182,546
3957,Arvind Das,January,Chilly Chicken,3,Morning,Card,1,27,2022-01-27,Chilly Chicken,"['chicken', 'capsicum', 'soy sauce', 'vinegar', 'garlic', 'onion', 'ginger', 'corn flour', 'oil', 'green onion', 'spices']",0,Thursday,4,11,201,603
3957,Arvind Das,January,Chilly Chicken,3,Morning,Card,1,27,2022-01-27,Chilly Chicken,"['chicken', 'capsicum', 'soy sauce', 'vinegar', 'garlic', 'onion', 'ginger', 'corn flour', 'oil', 'green onion', 'spices']",0,Thursday,4,11,201,603
9590,Sunita Sen,June,Veg Noodles,1,Afternoon,Wallet,6,25,2022-06-25,Veg Noodles,"['noodles', 'carrot', 'capsicum', 'soy sauce', 'onion', 'garlic', 'oil', 'green onion', 'salt', 'beans']",0,Saturday,25,10,154,154
7346,Anirban Roy,January,Egg Chilly,4,Night,Wallet,1,21,2022-01-21,Egg Chilly,"['egg', 'capsicum', 'soy sauce', 'garlic', 'onion', 'oil', 'ginger', 'corn flour', 'green onion', 'spices']",0,Friday,3,10,172,688
9835,Soham Bose,July,Parota,3,Evening,UPI,7,19,2022-07-19,Parota,"['maida', 'ghee', 'salt', 'water', 'oil', 'sugar']",0,Tuesday,29,6,167,501
2396,Rajesh Gupta,March,Onion Dosa,3,Night,Cash,3,13,2022-03-13,Onion Dosa,"['rice', 'urad dal', 'salt', 'onion', 'coriander', 'oil', 'green chili', 'water']",0,Sunday,10,8,151,453
6682,Priya Sharma,October,Omlet,1,Night,Card,10,6,2022-10-06,Omlet,"['egg', 'salt', 'pepper', 'oil', 'onion', 'green chili', 'coriander']",0,Thursday,40,7,196,196
6682,Priya Sharma,October,Omlet,1,Night,Card,10,6,2022-10-06,Omlet,"['egg', 'salt', 'pepper', 'oil', 'onion', 'green chili', 'coriander']",0,Thursday,40,7,196,196
7116,Meera Iyer,December,Veg Meals,3,Night,Cash,12,5,2022-12-05,Veg Meals,"['rice', 'dal', 'papad', 'cabbage', 'potato', 'curry leaves', 'spices', 'oil', 'tomato', 'onion', 'green chili', 'salt']",0,Monday,49,12,179,537
7365,Meera Iyer,May,Plain Dosa,5,Night,Cash,5,18,2022-05-18,Plain Dosa,"['rice', 'urad dal', 'salt', 'oil', 'water', 'fenugreek seeds']",0,Wednesday,20,6,183,915
4605,Rajesh Gupta,June,Chicken Noodles,4,Evening,Cash,6,2,2022-06-02,Chicken Noodles,"['noodles', 'chicken', 'soy sauce', 'garlic', 'onion', 'capsicum', 'oil', 'green onion', 'salt', 'ginger']",0,Thursday,22,10,231,924
6843,Priya Sharma,March,Cylon/Kerala Parota,5,Evening,Wallet,3,15,2022-03-15,Cylon/Kerala Parota,"['maida', 'egg', 'milk', 'ghee', 'salt', 'water', 'oil', 'sugar']",0,Tuesday,11,8,210,1050
4450,Arvind Das,January,Palak Paneer,4,Evening,UPI,1,8,2022-01-08,Palak Paneer,"['paneer', 'spinach', 'garlic', 'cream', 'spices', 'onion', 'oil', 'ginger', 'salt', 'green chili']",0,Saturday,1,10,229,916
3620,Sunita Sen,April,Omlet,2,Afternoon,Card,4,26,2022-04-26,Omlet,"['egg', 'salt', 'pepper', 'oil', 'onion', 'green chili', 'coriander']",0,Tuesday,17,7,196,392
3620,Sunita Sen,April,Omlet,2,Afternoon,Card,4,26,2022-04-26,Omlet,"['egg', 'salt', 'pepper', 'oil', 'onion', 'green chili', 'coriander']",0,Tuesday,17,7,196,392
