Customer_ID,Customer_Name,Month,Dish_Ordered,Quantity_Ordered,Order_Time,Payment_Method
5792,Rajesh Gupta,August,Aloo Posto,3,Evening,Cash
8481,Rajesh Gupta,June,Egg Chilly,1,Night,Card
1275,Rajesh Gupta,December,Dhal Fry,1,Evening,Cash
9452,Soham Bose,September,Kashmiri Aloo Dum,3,Morning,Card
8821,Arvind Das,January,Onion Dosa,5,Afternoon,Card
9480,Sunita Sen,September,Chicken Fry,2,Night,Wallet
5269,Priya Sharma,May,Masala Rice,3,Night,Wallet
3957,Arvind Das,January,Chilly Chicken (Full 12 Pcs),3,Morning,Card
9590,Sunita Sen,June,Veg Noodles,1,Afternoon,Wallet
7346,Anirban Roy,January,Egg Chilly,4,Night,Wallet
9835,Soham Bose,July,Parota,3,Evening,UPI
2396,Rajesh Gupta,March,Onion Dosa,3,Night,Cash
6682,Priya Sharma,October,Omlet (Single),1,Night,Card
7116,Meera Iyer,December,Veg Meals,3,Night,Cash
7365,Meera Iyer,May,Plain Dosa (2 Pcs),5,Night,Cash
4605,Rajesh Gupta,June,Chicken Noodles,4,Evening,Cash
6843,Priya Sharma,March,Cylon/Kerala Parota,5,Evening,Wallet
4450,Arvind Das,January,Palak Paneer,4,Evening,UPI
3620,Sunita Sen,April,Omlet (Double),2,Afternoon,Card
9598,Rajesh Gupta,July,Bangda Fry (Ayala),2,Evening,UPI
7758,Meera Iyer,May,Egg Burji (2 Eggs),4,Morning,Wallet
4120,Priya Sharma,November,Paneer Manchurian,2,Morning,Wallet
4315,Soham Bose,July,Palak Paneer,4,Afternoon,Wallet
6239,Anirban Roy,May,Egg Noodles,1,Afternoon,Wallet
6572,Meera Iyer,October,Set Dosa (3 Pcs),4,Night,Card
4642,Arvind Das,April,Chicken Pepper Masala,2,Afternoon,Cash
8833,Arvind Das,March,Chilly Chicken (Half 6 Pcs),4,Afternoon,Card
7293,Arvind Das,July,Chicken Fried Rice,4,Morning,Cash
5168,Meera Iyer,October,Chicken Biryani,3,Afternoon,Card
3392,Soham Bose,April,Veg Meals,2,Evening,UPI
2294,Priya Sharma,January,Cylon/Kerala Parota,5,Night,UPI
2173,Soham Bose,August,Paneer Chilly,4,Evening,Cash
4590,Arvind Das,April,Kabab Full (8 Pcs),4,Morning,UPI
